Model,Horizon,MSE_mean,MSE_std,MSE_q25,MSE_median,MSE_q75,MAE_mean,MAE_std,MAE_q25,MAE_median,MAE_q75,sMAPE_mean,sMAPE_std,SampleCount
DLinear,1,0.14317891352199705,0.2732070813333224,0.018015628082386,0.051181504528330105,0.17725934809549226,0.28499531973783,0.2531659832712914,0.1342186652660368,0.22609753863243826,0.4208975826104482,28.065688265535332,17.827306621884343,30
DLinear,2,0.5554067367991755,1.1239542235877291,0.08680553690845302,0.2388587290887004,0.5147411527095203,0.5790511552962518,0.4771754137984359,0.29460992035865774,0.48872843677202865,0.7174512016455332,58.169469746967124,37.374320684795286,30
DLinear,3,0.5295001357060409,0.7442483958978938,0.0120787345144968,0.12960545345438873,0.7411255080811752,0.537073960944433,0.4993634183998994,0.10932140056292217,0.35983054283459975,0.8608377793153127,48.402215731335005,43.836245157683365,30
DLinear,4,0.8848075745580686,1.4690379455339373,0.0375469827093306,0.42544396794792094,1.1446679660230465,0.7063692879227987,0.6317872871281371,0.1919808668613434,0.6521303993542988,1.0630296211242678,53.92159414470309,38.50803190055366,30
DLinear,5,1.2418126789766117,1.8738701189077431,0.06709254931214956,0.5100339857818239,1.5036497851719322,0.8480759801585334,0.7352549247250949,0.25895043962001796,0.7119879940668741,1.226199613087518,58.83278499654466,41.96191873379713,30
DLinear,6,0.8986499091921725,1.223131812861962,0.08310750227430119,0.456607393809601,0.9042380904564853,0.7611623354065606,0.5747099493483073,0.28770422514279675,0.6750926474117098,0.9498178655306497,58.8269235389454,35.16572678292651,30
DLinear,7,0.9775815263194482,2.0416293728006827,0.07368942886060983,0.19671163325065966,0.8924420214184793,0.7050171946500596,0.7050548632850776,0.2714460981210073,0.4428049948533376,0.9446889624357223,59.90685726525274,32.69042381750878,30
DLinear,8,0.4007311443103424,0.72584168462999,0.019188394356152452,0.08854157225066885,0.5163220810801591,0.4542508238820424,0.4484309810956128,0.138400604613622,0.29755062127340404,0.7185492540836333,48.47611561599021,31.4796414563366,30
DLinear,9,0.4113474742704653,0.9087353330167672,0.053861652156059925,0.129960151475844,0.3587026612085192,0.48078572999280594,0.4317477186079732,0.23208025357325868,0.36030609615643816,0.5965498283227285,59.92477865218988,27.8905163457799,30
DLinear,10,0.45255203053169674,0.6831076095444623,0.04026318634577158,0.18938261911763904,0.31699764460655944,0.5125413799901992,0.44317043229996383,0.20063940108617145,0.43330224601427714,0.5630182081063588,62.147186524730735,35.138346131132266,30
