OriginIndex,Horizon,Reference,Baseline,LossDifferential
4,14,PGF-Net,DLinear,-0.16497839909908887
4,15,PGF-Net,DLinear,-0.3371865330414417
4,16,PGF-Net,DLinear,-1.0547616934871131
4,17,PGF-Net,DLinear,1.074296425013383
4,18,PGF-Net,DLinear,-0.13517963008455938
4,19,PGF-Net,DLinear,-0.1516969825121432
4,20,PGF-Net,DLinear,-0.32603243136526316
4,21,PGF-Net,DLinear,-0.06313204888855091
4,22,PGF-Net,DLinear,-0.6322743391009168
4,23,PGF-Net,DLinear,-0.6112224684043213
4,24,PGF-Net,DLinear,-0.8140415274211322
5,1,PGF-Net,DLinear,-0.2388588037807639
5,2,PGF-Net,DLinear,-2.2151759317450592
5,3,PGF-Net,DLinear,-0.7500902239622768
5,4,PGF-Net,DLinear,0.0174191892878294
5,5,PGF-Net,DLinear,-0.4801186252119827
5,6,PGF-Net,DLinear,-0.5069863211751171
5,7,PGF-Net,DLinear,-0.8131131845259418
5,8,PGF-Net,DLinear,0.0468738159791996
5,9,PGF-Net,DLinear,-0.36911921429381206
5,10,PGF-Net,DLinear,0.017668563895517703
5,11,PGF-Net,DLinear,-0.0775925409307612
5,12,PGF-Net,DLinear,-0.0431202874698497
5,13,PGF-Net,DLinear,-0.005449074498813
5,14,PGF-Net,DLinear,-0.0956600727269045
5,15,PGF-Net,DLinear,-0.13103529353885118
5,16,PGF-Net,DLinear,0.07087318839952961
5,17,PGF-Net,DLinear,-0.8838481176589537
5,18,PGF-Net,DLinear,0.1497717263572222
5,19,PGF-Net,DLinear,-0.0154411002624161
5,20,PGF-Net,DLinear,0.3273630645614944
5,21,PGF-Net,DLinear,0.332906429359983
5,22,PGF-Net,DLinear,0.88819118028391
5,23,PGF-Net,DLinear,-0.5525397790887191
5,24,PGF-Net,DLinear,0.0032301261269087993
6,1,PGF-Net,DLinear,-0.003192535918051881
6,2,PGF-Net,DLinear,-0.28882624553974057
6,3,PGF-Net,DLinear,-0.4228492942578609
6,4,PGF-Net,DLinear,-0.4910630185166118
6,5,PGF-Net,DLinear,0.2923027178739735
6,6,PGF-Net,DLinear,0.21200114972361916
6,7,PGF-Net,DLinear,0.26408145690536244
6,8,PGF-Net,DLinear,0.847812576551445
6,9,PGF-Net,DLinear,0.2785018306392326
6,10,PGF-Net,DLinear,-0.16724820196989668
6,11,PGF-Net,DLinear,-0.039533574587684896
6,12,PGF-Net,DLinear,0.00047099627412490117
6,13,PGF-Net,DLinear,-0.0838511508065445
6,14,PGF-Net,DLinear,-0.6375997405276206
6,15,PGF-Net,DLinear,-0.9035912180752415
6,16,PGF-Net,DLinear,-1.3711675239299912
6,17,PGF-Net,DLinear,0.088270274103332
6,18,PGF-Net,DLinear,-0.4158488665789603
6,19,PGF-Net,DLinear,-0.6429251251585062
6,20,PGF-Net,DLinear,0.13878652576574524
6,21,PGF-Net,DLinear,0.06666016747509285
6,22,PGF-Net,DLinear,-0.2645278156472406
6,23,PGF-Net,DLinear,-0.09013466479188341
6,24,PGF-Net,DLinear,-0.2892775830566019
7,1,PGF-Net,DLinear,-0.1188927339048193
7,2,PGF-Net,DLinear,-0.2567363786619823
7,3,PGF-Net,DLinear,-0.6215741801633685
7,4,PGF-Net,DLinear,0.1160710935570623
7,5,PGF-Net,DLinear,-0.214247345039916
7,6,PGF-Net,DLinear,-1.1985430838467492
7,7,PGF-Net,DLinear,-0.9500094788548746
7,8,PGF-Net,DLinear,-0.113130514788376
7,9,PGF-Net,DLinear,0.094538147942618
7,10,PGF-Net,DLinear,0.04117399208544407
7,11,PGF-Net,DLinear,-0.0095337780087234
7,12,PGF-Net,DLinear,0.008973095104189921
7,13,PGF-Net,DLinear,-0.1003859903720526
7,14,PGF-Net,DLinear,-0.46269089509462774
7,15,PGF-Net,DLinear,-0.602357844734158
7,16,PGF-Net,DLinear,-0.7949363151549449
7,17,PGF-Net,DLinear,-0.72282338512716
7,18,PGF-Net,DLinear,0.6959792696345617
7,19,PGF-Net,DLinear,0.2398349465596703
7,20,PGF-Net,DLinear,0.2157426485802408
7,21,PGF-Net,DLinear,-0.5670695121275151
7,22,PGF-Net,DLinear,-1.0702085603100133
7,23,PGF-Net,DLinear,0.9251819365690176
7,24,PGF-Net,DLinear,0.4962575029185354
8,1,PGF-Net,DLinear,0.1254609755885336
8,2,PGF-Net,DLinear,0.9455079019505829
8,3,PGF-Net,DLinear,1.3324449007224066
8,4,PGF-Net,DLinear,1.0129829885432413
8,5,PGF-Net,DLinear,-0.4980419476797715
8,6,PGF-Net,DLinear,-0.6805480043264114
8,7,PGF-Net,DLinear,-0.039780809581372104
8,8,PGF-Net,DLinear,0.1325401805690189
8,9,PGF-Net,DLinear,0.0037219182722744992
8,10,PGF-Net,DLinear,-0.08579166329484111
8,11,PGF-Net,DLinear,-0.0647893125457454
8,12,PGF-Net,DLinear,-0.14853875000804262
8,13,PGF-Net,DLinear,-0.0759956764416958
8,14,PGF-Net,DLinear,-0.24122041434430191
8,15,PGF-Net,DLinear,0.08773620787399816
8,16,PGF-Net,DLinear,-0.10569775574440349
8,17,PGF-Net,DLinear,-0.20164889613477371
8,18,PGF-Net,DLinear,0.1870877335934711
8,19,PGF-Net,DLinear,0.11304033653283108
8,20,PGF-Net,DLinear,-0.1330639795143178
8,21,PGF-Net,DLinear,-0.10553866380352203
8,22,PGF-Net,DLinear,-0.2111927580323686
8,23,PGF-Net,DLinear,1.1089553794827773
8,24,PGF-Net,DLinear,0.4125330282367986
9,1,PGF-Net,DLinear,0.1316695322543085
9,2,PGF-Net,DLinear,0.057486500101558174
9,3,PGF-Net,DLinear,0.10311851363379265
9,4,PGF-Net,DLinear,0.18256420799405837
9,5,PGF-Net,DLinear,-0.4073705264860874
9,6,PGF-Net,DLinear,-0.4551369140652649
9,7,PGF-Net,DLinear,-0.020711643597001006
9,8,PGF-Net,DLinear,0.03938272345766511
9,9,PGF-Net,DLinear,-0.0253381108511909
9,10,PGF-Net,DLinear,-0.18091022473164858
9,11,PGF-Net,DLinear,0.0375805318334244
9,12,PGF-Net,DLinear,-0.005447149911461002
9,13,PGF-Net,DLinear,-0.021272437067035
9,14,PGF-Net,DLinear,-0.15303035499386558
9,15,PGF-Net,DLinear,-0.1348083115140831
