MSE,RMSE,MAE,sMAPE,PLE,Ramp_MAE,Dataset,Model,OriginIndex,OriginTimestamp,TrainingTime_s
1.278241074350795,1.1305932400075611,0.963344812749492,73.07823283572827,56.18496171061069,0.4683980221278426,UCI Household,DLinear,0,2010-04-24 17:00:00,0.4179100000001199
1.508588552641419,1.2282461286897748,0.8809799220036302,99.94897775599463,50.47510430061799,0.6361074625801348,UCI Household,DLinear,1,2010-05-01 17:00:00,0.3273117000007914
0.4461191323480682,0.6679215016362838,0.5433009308218956,56.035349863865015,45.432778286559085,0.5269001360229825,UCI Household,DLinear,2,2010-05-08 17:00:00,2.603866699999344
1.6831252212787555,1.297353159813763,1.0079349632024766,73.55778240680687,55.481872960942965,0.7889246848714524,UCI Household,DLinear,3,2010-05-15 17:00:00,2.7441541999978654
0.3935758148156118,0.6273562104702654,0.5569015087101195,51.12463693126475,30.395295535218104,0.5283088239642157,UCI Household,DLinear,4,2010-05-22 17:00:00,2.601842799998849
0.601272445970389,0.7754175945710731,0.558074752354622,45.29671904015043,50.80709512383241,0.6221561203072037,UCI Household,DLinear,5,2010-05-29 17:00:00,2.704263399999036
1.0716124212313374,1.0351871430960382,0.8695795070052146,68.13787602667108,48.09833886619293,0.6918655176494432,UCI Household,DLinear,6,2010-06-05 17:00:00,2.7329857000004267
0.6604341787077216,0.8126710150532758,0.6945517938903047,58.08241251624581,46.60743678719176,0.6138230458358674,UCI Household,DLinear,7,2010-06-12 17:00:00,2.628549099998054
0.2976475093279585,0.5455708105534592,0.4883093826148245,57.73796885147861,37.74372975909698,0.340725697496663,UCI Household,DLinear,8,2010-06-19 17:00:00,2.625788399996964
0.3742576150509247,0.6117659806257003,0.5130454256700144,64.7281903653046,5.0228165703599865,0.3966201591422592,UCI Household,DLinear,9,2010-06-26 17:00:00,2.906417300000612
0.4953759568653579,0.7038294941712502,0.6290904739353391,61.05748674275456,49.43416203425063,0.2436327468692392,UCI Household,DLinear,10,2010-07-03 17:00:00,2.720120100002532
0.1526515319824667,0.3907064524453963,0.3239986503574583,45.25504586664265,21.44794649726291,0.2956854166929273,UCI Household,DLinear,11,2010-07-10 17:00:00,2.802462300001934
0.3568574681801561,0.5973754834106905,0.5319616687403784,79.40514846031749,46.78347949021393,0.2662294648004614,UCI Household,DLinear,12,2010-07-17 17:00:00,2.5877344999971683
0.1854199037915696,0.4306041149264248,0.3364585711121559,44.18627981835523,30.235873649449022,0.3219330695331961,UCI Household,DLinear,13,2010-07-24 17:00:00,2.745187699998496
0.0905738476099786,0.3009548929822849,0.2693594604664378,55.572194504837256,3.546984790291232,0.1478939306908759,UCI Household,DLinear,14,2010-07-31 17:00:00,2.9924855000026582
0.0697369539484008,0.264077552905204,0.2152744921161068,46.84204279921288,32.085979600226025,0.1806369301229283,UCI Household,DLinear,15,2010-08-07 17:00:00,2.922515899997961
0.1599021310241289,0.399877645066749,0.2857152611970902,51.64444038926076,56.8410185396636,0.3018697891802027,UCI Household,DLinear,16,2010-08-14 17:00:00,3.0773836000007577
0.0033058966416605,0.0574969272366842,0.0487803123195966,5.3762728350057,12.701589853714363,0.0290279414342797,UCI Household,DLinear,17,2010-08-21 17:00:00,2.7668217999998888
0.3420860479776705,0.5848812255301674,0.4864524375597636,58.167902505441496,36.22619290984861,0.3818106618936511,UCI Household,DLinear,18,2010-08-28 17:00:00,2.869727299999795
0.2760008220506897,0.5253578038353383,0.3968696755528449,38.950107910375785,34.956113583173845,0.4170377287629722,UCI Household,DLinear,19,2010-09-04 17:00:00,3.030452499999228
0.8071903304502738,0.8984377165114307,0.7965071021735667,76.53921446269474,15.316506257182274,0.4666755488478618,UCI Household,DLinear,20,2010-09-11 17:00:00,2.915012800000113
0.1556250601547716,0.3944934221945553,0.326123721375068,49.761409921792925,5.188083695638868,0.2330959341408549,UCI Household,DLinear,21,2010-09-18 17:00:00,2.925959399999556
0.475568140268634,0.689614486701544,0.5994015294696604,102.59523151732236,515.1980666832825,0.1772175249846085,UCI Household,DLinear,22,2010-09-25 17:00:00,2.842850100001669
1.1674900340427756,1.0805045275438578,0.7874556497322188,60.39919652057467,56.59087024681308,0.7550096351927607,UCI Household,DLinear,23,2010-10-02 17:00:00,2.8441106000027503
0.2920067555385155,0.5403764942505508,0.39581307615704,34.51333608601253,16.78296253610726,0.3829572634061177,UCI Household,DLinear,24,2010-10-09 17:00:00,3.1335568000031344
0.8331757303024974,0.9127846023583536,0.7231141227814887,78.60448232734338,71.65251144694534,0.325609374402917,UCI Household,DLinear,25,2010-10-16 17:00:00,2.9442022000002908
1.2594828303354813,1.1222668267107787,0.9618263354021952,65.99783737406774,35.7820705544579,0.7293585908101953,UCI Household,DLinear,26,2010-10-23 17:00:00,3.127001500000916
1.405939940536298,1.1857233828074312,1.0110701868693033,78.47665583142489,56.73570023629844,0.5157253133110379,UCI Household,DLinear,27,2010-10-30 17:00:00,3.332719400001224
0.3563646299421855,0.5969628379909301,0.4649957981930838,41.66722866385684,13.905254580182866,0.355378747025089,UCI Household,DLinear,28,2010-11-06 17:00:00,2.9343756000016583
0.5855923002832254,0.765240027888783,0.5597013022727437,45.49939299435814,36.77669160425008,0.4836691239619599,UCI Household,DLinear,29,2010-11-13 17:00:00,3.0013686000020243
4.749847663677287,2.1794145231408564,1.7923179969101313,140.9853392069148,19.189572399656004,1.7863493891424027,UCI Household,PGF-Net,0,2010-04-24 17:00:00,5.186316600000282
3.818068669358,1.95398788874394,1.4637654347631666,127.28631940254498,28.594228781809385,1.826291590935251,UCI Household,PGF-Net,1,2010-05-01 17:00:00,5.383389199998419
0.6879038204276675,0.8293996747212212,0.6758196733752887,64.21761756798088,37.02605583181487,0.5492295273849931,UCI Household,PGF-Net,2,2010-05-08 17:00:00,53.06439670000327
0.964254256346006,0.981964488332448,0.7928136558406882,57.00609985168917,47.94716138598902,0.7405385960039885,UCI Household,PGF-Net,3,2010-05-15 17:00:00,53.2802757999998
0.2313251467031735,0.4809627290166812,0.3868578136099709,38.25898336918117,25.571857008254064,0.5118741477164669,UCI Household,PGF-Net,4,2010-05-22 17:00:00,51.89533790000132
0.3794453090279462,0.6159913222018198,0.4345409503400326,33.65504117023512,45.14931115471748,0.620084367102471,UCI Household,PGF-Net,5,2010-05-29 17:00:00,53.40902840000126
0.9081645518958996,0.9529766796180794,0.7008528720484839,54.03861896556251,56.33847393974833,0.6739823751974795,UCI Household,PGF-Net,6,2010-06-05 17:00:00,53.72987099999955
0.4533763719061408,0.6733322893684371,0.5500618826161895,47.19040933711707,28.01183214033773,0.5910578315184352,UCI Household,PGF-Net,7,2010-06-12 17:00:00,54.29653849999886
0.4172376309910571,0.6459393400243223,0.5144168234566847,56.40607814876145,18.93132964269057,0.3773534711575163,UCI Household,PGF-Net,8,2010-06-19 17:00:00,54.66277679999985
0.2525071005861245,0.50250084635364,0.4176893516335222,53.73371640652164,15.665894231783591,0.3472416914165884,UCI Household,PGF-Net,9,2010-06-26 17:00:00,54.50769450000007
0.7828073903430184,0.8847640308822564,0.7731892537428274,77.96674885675864,48.44205009487049,0.2964956695376963,UCI Household,PGF-Net,10,2010-07-03 17:00:00,55.01173859999835
0.2388987797407783,0.4887727281066102,0.4111448913302686,50.38037192821631,4.502256683899516,0.3376108162575874,UCI Household,PGF-Net,11,2010-07-10 17:00:00,55.28811889999997
0.1691440455147131,0.4112712553956489,0.3490986275454362,61.11029515391566,0.0025250551121277,0.1830640252168627,UCI Household,PGF-Net,12,2010-07-17 17:00:00,56.10768420000022
0.1864421024407444,0.4317894190930857,0.3516268114070097,45.11744579824721,28.84950420776212,0.3405995591453883,UCI Household,PGF-Net,13,2010-07-24 17:00:00,56.14739940000072
0.2173788893805852,0.4662390903609276,0.4050698988550238,71.4425132782108,22.78390596662336,0.2272340220852174,UCI Household,PGF-Net,14,2010-07-31 17:00:00,56.7442394000027
0.2250018614434152,0.4743436111548412,0.4114080573015742,74.45712792938109,9.466836098192482,0.258777144525362,UCI Household,PGF-Net,15,2010-08-07 17:00:00,57.41039319999982
0.2030197040688548,0.4505770789430537,0.3657899348649713,61.83129276096887,44.072737743298894,0.351164055088983,UCI Household,PGF-Net,16,2010-08-14 17:00:00,58.063125099997706
0.0805490590000365,0.2838116611417448,0.2252489912013212,28.215603501348312,47.27922388480741,0.1387788109157396,UCI Household,PGF-Net,17,2010-08-21 17:00:00,59.04805599999963
0.6682067532255601,0.817439143438556,0.6888999752932125,69.79175979445917,13.436636262509388,0.4347661425189694,UCI Household,PGF-Net,18,2010-08-28 17:00:00,58.63222809999934
0.2146988568618498,0.4633560799880043,0.3801592304613855,38.38591271661362,23.56942193496949,0.4836810338794321,UCI Household,PGF-Net,19,2010-09-04 17:00:00,58.25939769999968
0.6216954769012876,0.7884766812666609,0.6405943032516374,61.36238716152634,27.90115113190853,0.3938597892629928,UCI Household,PGF-Net,20,2010-09-11 17:00:00,58.30993200000012
0.2490260812468528,0.4990251308770459,0.3983265867014726,55.20475624992552,16.33672666801861,0.2577370339421257,UCI Household,PGF-Net,21,2010-09-18 17:00:00,58.06726139999955
0.4387319412984683,0.6623684331989775,0.6104112250989392,106.38973771708004,446.9863193954536,0.1477903283160666,UCI Household,PGF-Net,22,2010-09-25 17:00:00,59.27735340000072
0.750231970031544,0.8661593213904379,0.6464338848405414,48.73696091772826,46.0379301634318,0.692069190362571,UCI Household,PGF-Net,23,2010-10-02 17:00:00,59.22443349999958
0.1846672621627051,0.4297292893935729,0.3492322398238712,31.859638731269683,13.920673898612728,0.3034538173896678,UCI Household,PGF-Net,24,2010-10-09 17:00:00,60.41484560000026
0.8674882445717295,0.9313904898439372,0.8163011848489444,92.05493615685069,76.09921168374527,0.312133682660089,UCI Household,PGF-Net,25,2010-10-16 17:00:00,60.409684400001424
0.546763831363867,0.7394348053505914,0.5799700327199058,36.407782782633184,24.187635889235768,0.5991750703397003,UCI Household,PGF-Net,26,2010-10-23 17:00:00,59.6568769000005
1.1094522671753402,1.0533054007149778,0.9216626676532956,75.39684509661066,43.14208077989206,0.4580676791591921,UCI Household,PGF-Net,27,2010-10-30 17:00:00,61.75343970000176
0.3408306112784025,0.5838069983122869,0.4714933483786053,43.392754169665125,13.375910358675974,0.2860879046177518,UCI Household,PGF-Net,28,2010-11-06 17:00:00,61.3287711999983
0.5908306497241306,0.7686550915229343,0.6080828294065264,42.03648643805112,29.420072097363843,0.4780339756868886,UCI Household,PGF-Net,29,2010-11-13 17:00:00,62.02740039999844
2.095226720046296,1.4474897996346283,1.2108236111111113,98.00857418259672,60.48356290408198,0.5499826086956522,UCI Household,S-Naive,0,2010-04-24 17:00:00,0.0
1.4846925699537037,1.2184796140903236,0.8973013888888889,72.38585831015429,20.19140809361389,0.9038376811594202,UCI Household,S-Naive,1,2010-05-01 17:00:00,0.0
0.621727462175926,0.7884969639611341,0.5509930555555557,54.42276216394747,17.698159655065652,0.6464043478260871,UCI Household,S-Naive,2,2010-05-08 17:00:00,0.0
2.158570972037037,1.4692076000473988,1.0926583333333333,78.97831739979483,47.19490366806169,0.8527333333333332,UCI Household,S-Naive,3,2010-05-15 17:00:00,0.0
0.7194869713888888,0.848225778545364,0.613625,51.10985189106568,14.318620934753126,0.5717420289855072,UCI Household,S-Naive,4,2010-05-22 17:00:00,0.0
0.9422017512962962,0.9706707738962248,0.7441249999999999,59.465350870332365,22.131692002349475,0.7707347826086957,UCI Household,S-Naive,5,2010-05-29 17:00:00,0.0
0.8696839638888889,0.9325684767827448,0.7183138888888889,58.556624926096745,26.92047195406732,0.7198971014492754,UCI Household,S-Naive,6,2010-06-05 17:00:00,0.0
0.9755030182320028,0.9876755632453416,0.8526719161958569,69.39007004130036,27.96654459885494,0.7416032178825841,UCI Household,S-Naive,7,2010-06-12 17:00:00,0.0
0.4088399663425925,0.6394059480037643,0.4467069444444444,44.73281320207536,21.44439205911961,0.5612434782608695,UCI Household,S-Naive,8,2010-06-19 17:00:00,0.0
0.3596588051388887,0.5997156035479557,0.436798611111111,53.154221356971554,12.06402722746332,0.4954884057971015,UCI Household,S-Naive,9,2010-06-26 17:00:00,0.0
0.7044096263425925,0.8392911451591709,0.6879541666666666,68.51892862926009,32.01249722708941,0.355368115942029,UCI Household,S-Naive,10,2010-07-03 17:00:00,0.0
0.4383790341203704,0.6621019816617153,0.4816180555555555,54.17661883965419,35.662027859700665,0.5957608695652173,UCI Household,S-Naive,11,2010-07-10 17:00:00,0.0
0.2174813308333333,0.4663489367773162,0.3059472222222222,46.3669161706536,19.87148208607691,0.3540507246376812,UCI Household,S-Naive,12,2010-07-17 17:00:00,0.0
0.2195474496759258,0.4685589073701682,0.3010124999999999,34.82639696727208,5.88458831128511,0.3106927536231884,UCI Household,S-Naive,13,2010-07-24 17:00:00,0.0
0.0049076338425925,0.0700545062261707,0.0370763888888888,7.943375848647276,28.24251424461636,0.050927536231884,UCI Household,S-Naive,14,2010-07-31 17:00:00,0.0
0.0159710827314814,0.1263767491727868,0.0784541666666666,18.409363308678625,22.81913225159278,0.1288463768115942,UCI Household,S-Naive,15,2010-08-07 17:00:00,0.0
0.1871767260648148,0.4326392562687935,0.2245930555555555,35.67763757941978,37.62189516932333,0.3626434782608695,UCI Household,S-Naive,16,2010-08-14 17:00:00,0.0
0.0,0.0,0.0,0.0,0.0,0.0,UCI Household,S-Naive,17,2010-08-21 17:00:00,0.0
0.6044954235185186,0.7774930376013142,0.4771555555555555,39.47801961602604,18.76231966971813,0.3560927536231884,UCI Household,S-Naive,18,2010-08-28 17:00:00,0.0
0.3630663322685185,0.6025498587407673,0.4299847222222222,45.100471493581054,8.45981814582771,0.5596449275362319,UCI Household,S-Naive,19,2010-09-04 17:00:00,0.0
0.9476182848611112,0.9734568736524034,0.7924847222222223,72.55109714831134,4.634800560068614,0.5832318840579712,UCI Household,S-Naive,20,2010-09-11 17:00:00,0.0
0.4476372963425926,0.6690570202475964,0.4842069444444445,53.6969194436333,68.37826397757644,0.4349405797101449,UCI Household,S-Naive,21,2010-09-18 17:00:00,0.0
0.4631947889762849,0.6805841527513589,0.3389865079365079,42.45005536295654,834.1368214994345,0.204817701863354,UCI Household,S-Naive,22,2010-09-25 17:00:00,0.0
1.4648661255092594,1.2103165393851558,0.8840041666666667,66.02197201601726,44.54144766166337,0.8407666666666667,UCI Household,S-Naive,23,2010-10-02 17:00:00,0.0
