Model,N,MSE_mean,MSE_std,MSE_ci95,MAE_mean,MAE_std,MAE_ci95,PLE_mean,PLE_std,PLE_ci95,Ramp_MAE_mean,Ramp_MAE_std,Ramp_MAE_ci95,Params_mean,Params_std,Params_ci95,TrainingTime_s_mean,TrainingTime_s_std,TrainingTime_s_ci95,Inference_ms_per_batch_mean,Inference_ms_per_batch_std,Inference_ms_per_batch_ci95
PGF-Net,5,0.38775755956345004,0.02529481574351168,0.02217188357248301,0.4694140474563425,0.02920776905970112,0.02560173837873387,34.56455324007699,0.8235257992772443,0.721852190016236,0.41716409389575065,0.021878093111986838,0.019176994139257213,20920.0,0.0,0.0,110.13867901999993,94.600127507861,82.9206677887882,34.76505200003885,2.1605994983828407,1.8938489614101033
PGF-Net Concatenation,5,0.4229087235822087,0.010896576878628042,0.009551270756084593,0.5000177335003808,0.009427329682912837,0.008263418806779499,36.23201767285012,1.9272632770847749,1.6893207456554231,0.42971959715390035,0.003952201651547719,0.0034642574890298736,19608.0,0.0,0.0,17.226638040000033,6.789818112614683,5.951537983028975,5.672255999816116,4.0301595649192725,3.532590612953544
PGF-Net Fixed 0.5,5,0.4289113831962335,0.009215306920120582,0.008077572661110227,0.5085965072733073,0.008179426432181185,0.0071695833795717544,36.460887655897196,2.105616172689177,1.8456539514891268,0.44094484872893747,0.00621842362129277,0.0054506886285996085,18840.0,0.0,0.0,32.701538939999956,6.785808232782445,5.948023168385472,7.457531999825733,0.8463106623789896,0.7418240030956194
PGF-Net Scalar Fusion,5,0.4264284681182181,0.011826442975381478,0.01036633432659132,0.5042369726434686,0.013182456730569433,0.01155493278912113,37.10617428819545,1.2520992250969272,1.0975133609014835,0.4404863632105437,0.006530273979577319,0.0057240375197729195,18841.0,0.0,0.0,22.667118819999814,10.694938057500654,9.374526536594638,6.739764000303694,1.7094203503895247,1.4983730013922545
PGF-Net w/o LSTM,5,0.5026789597031948,0.0158498277752736,0.013892986596173003,0.5845283255192626,0.017757533531605158,0.015565164419045208,43.32539571836874,0.9517942943304736,0.8342844831459975,0.44836753047179345,0.006753068231489521,0.005919325291943503,10392.0,0.0,0.0,2.544387259999712,0.5057877221211304,0.4433424857082677,1.1408400002255803,0.17131166324367092,0.1501612935457489
PGF-Net w/o PosEnc,5,0.40835577464625894,0.008973119533020529,0.007865286056457508,0.49125228687066763,0.006942801426918726,0.0060856337703901415,34.899620762840385,1.6010581257136507,1.4033893235694577,0.4313975758942739,0.005271541742654363,0.00462071006765872,20920.0,0.0,0.0,6.230999079999674,0.40412750715113377,0.35423337840644725,2.2325120001187315,0.17744892957542685,0.1555408446735691
PGF-Net w/o Time Embedding,5,0.47502008211296315,0.013494695483318315,0.011828622123052778,0.5563880996922859,0.012035363646850705,0.010549461369328874,42.504791246683666,0.6680580479147873,0.5855786975568842,0.4159914072574484,0.005656800977098467,0.004958404675831926,19992.0,0.0,0.0,5.9563133400002695,0.3794976307047291,0.3326443398259072,2.6530079996882705,0.582663737434573,0.5107272841716952
PGF-Net w/o Transformer,5,0.4158126176671385,0.009664636235503614,0.008471427171354348,0.4950575762392141,0.008750901763986609,0.007670503593809175,35.86322122552441,1.3786901479187954,1.2084751971370213,0.42811610193148386,0.0023560757153779947,0.002065191420210884,10296.0,0.0,0.0,4.633450719999746,0.263207424086661,0.23071147943663264,1.7214280000916915,0.49813769786845497,0.436636943798934
